image_id,psnr_delta,psnr_improved,ssim_delta,ssim_improved,rmse_delta,rmse_improved,mae_delta,mae_improved,bias_delta,bias_improved,r2_delta,r2_improved,pearson_delta,pearson_improved
ntl_chip_Gurupi_948,2.8212661743164062,1,0.01953369379043579,1,0.005626983940601299,1,0.0014052186161279002,1,-0.00044518722279454317,0,0.032456636428832786,1,0.016170859336853027,1
ntl_chip_Gyegu_1068,1.4690971374511719,1,0.015375912189483643,1,0.0019559636712074002,1,0.0008617867715655994,1,-0.00034446845893397265,0,0.0341755747795105,1,0.016826152801513672,1
ntl_chip_Ha_Tinh_631,1.4865150451660156,1,0.07170724868774414,1,0.005698163062334099,1,0.003199316561222,1,-0.00049372480134479,0,0.04438281059265137,1,0.02262139320373524,1
ntl_chip_Harij_1608,2.0706710815429688,1,0.029881060123443604,1,0.0033834241330623002,1,0.0016599120572209011,1,-0.00024720095643709493,0,0.020279645919799583,1,0.009827613830566406,1
ntl_chip_Hayden_501,2.6076507568359375,1,0.027957677841186634,1,0.005769776180386498,1,0.002484890632331401,1,-0.00022198586520966645,0,0.013018548488616943,1,0.006349205970764271,1
ntl_chip_Heerhugowaard_20,1.556900024414066,1,0.05922013521194458,1,0.006133543327450797,1,0.004307422786951003,1,-0.0010565793782006362,0,0.01749432086944558,1,0.008565723896026611,1
ntl_chip_Higashi-Matsuyama_1778,2.2078914642333984,1,0.06417143344879139,1,0.007435759529471401,1,0.0051098503172397995,1,-0.0025177594870910247,0,0.013828814029693604,1,0.006900370121002419,1
ntl_chip_Huajiang_1097,1.4397468566894531,1,0.062050580978393555,1,0.004166433587670302,1,0.0022863298654555997,1,-0.0005538515215448007,0,0.043460071086883545,1,0.021668374538421742,1
ntl_chip_Huishi_1104,2.0335655212402273,1,0.025258123874664418,1,0.0031976960599421986,1,0.0012981649488211008,1,-0.000300303930998734,0,0.03698146343231201,1,0.01799219846725464,1
ntl_chip_Huozhou_1113,2.5985393524169957,1,0.040248870849609486,1,0.0067582111805678,1,0.002802685834467399,1,-0.0003303192497696514,0,0.036240816116332786,1,0.017395973205566406,1
ntl_chip_Hyeres_1392,3.4259719848632812,1,0.03499537706375111,1,0.009947819635271998,1,0.0043474966660142,1,-0.0003679674337035535,0,0.02375364303588856,1,0.011428236961364746,1
ntl_chip_Hyosha_1010,1.1538887023925781,1,0.06307560205459595,1,0.0030064284801483987,1,0.0017369575798512026,1,-0.0002681237529031903,0,0.07848477363586426,1,0.04219084978103638,1
ntl_chip_Ilaka_Atsinanana_1876,0.9006252288818359,1,0.10293787717819214,1,0.004257868975400897,1,0.0030765272676944976,1,-0.00041882774166876523,0,0.0956909060478211,1,0.05618053674697876,1
ntl_chip_Imzouren_1845,2.7943382263183594,1,0.036046862602233776,1,0.006639011204242699,1,0.003017708659172001,1,-0.00015516918210771666,0,0.02010113000869762,1,0.009687781333923118,1
ntl_chip_Inongo_1007,0.7662506103515625,1,0.09312784671783447,1,0.002938162535429001,1,0.0021446645259857004,1,-0.0002516260428819157,0,0.0912885069847107,1,0.05525064468383789,1
ntl_chip_Irshava_391,2.4913711547851562,1,0.05081331729888905,1,0.006273571401834502,1,0.003268528729677202,1,-0.0003166052483720281,0,0.04448658227920532,1,0.020715296268463246,1
ntl_chip_Isangel_635,1.2838020324707031,1,0.017979741096496582,1,0.0016788737848401,1,0.0007598092779517,1,-0.00038342644256769947,0,0.05913656949996948,1,0.0285239815711974,1
ntl_chip_Itaperucu_907,2.331562042236328,1,0.05517113208770741,1,0.007503062486648504,1,0.004298081621527703,1,-0.0010617525476845696,0,0.00807034969329845,1,0.004036426544189564,1
ntl_chip_Jabonga_65,0.9840335845947266,1,0.047052979469299316,1,0.0030573755502701014,1,0.002445109188556699,1,-0.0015314254233088987,0,0.04785639047622681,1,0.024417221546172985,1
ntl_chip_Jafarabad_1593,1.3075675964355469,1,0.04408079385757446,1,0.0030019730329512995,1,0.0019674096256495008,1,-0.0002413106922176203,0,0.02432692050933838,1,0.012104630470275879,1
ntl_chip_Jieshou_1128,2.759235382080078,1,0.05000847578048695,1,0.007149973884224899,1,0.004109876230358999,1,-0.0010933970879704893,0,0.018068313598632812,1,0.008808434009552002,1
ntl_chip_Johnston_542,2.731578826904297,1,0.04711633920669556,1,0.008547279983758899,1,0.004543199203908499,1,-0.001128270218032348,0,0.011729598045349121,1,0.0058141350746155895,1
ntl_chip_Kadiana_1901,1.1870727539062464,1,0.11861401796340942,1,0.005619958043098401,1,0.0037692170590162034,1,-0.00016083155060177024,0,0.07877421379089355,1,0.04275524616241455,1
ntl_chip_Kaedi_1923,1.2939109802246094,1,0.05271214246749878,1,0.0028985608369112015,1,0.0016528982669114997,1,-0.00011133359657825427,0,0.06894171237945557,1,0.03428351879119873,1
ntl_chip_Kamikawa_1744,2.1169700622558594,1,0.04686611890792858,1,0.005522958934307102,1,0.0030761603266,1,-0.000570098003663516,0,0.014898121356964,1,0.00741058588027943,1
ntl_chip_Kaoni_1490,2.64459228515625,1,0.07352054119110107,1,0.006815010681748401,1,0.004184407182037801,1,-0.000922249935683695,0,0.03210914134979237,1,0.015697062015533225,1
ntl_chip_Kincardine_981,2.6245040893554688,1,0.029635608196258545,1,0.005108160898089402,1,0.0019225217401981996,1,-0.00018012530927076555,0,0.0378536581993103,1,0.01849949359893799,1
ntl_chip_Kovrov_237,1.2505912780761719,1,0.09020763635635376,1,0.005967643111944199,1,0.004823932424187598,1,-0.0002286196104250413,0,0.037030816078186035,1,0.01849478483200062,1
ntl_chip_Kraslava_1818,1.2533111572265625,1,0.11084270477294922,1,0.005546547472477001,1,0.004701223224401498,1,-0.00012817730748790413,0,0.09216415882110596,1,0.04388701915740967,1
